Businessname,Text_Short,Text_Long,Link,Image
Vancity,$500 Prepaid Visa,"This $500 Vancity Visa gift card can be used anywhere that accepts Visa electronically. But of course, being the enlightened person that you are, you'll surely use it at locally owned businesses, right?",http://www.vancity.com/local,http://thetyee.ca/Presents/2014/11/26/vancity-visa.jpg
Burnaby Heights,$1000 shopping spree,"Experience the many local merchants of Burnaby Heights, like Adele-Rae Florist, Cioffi's Meat Market & Deli, Glenburn Soda Fountain and more in this $1,000 Heights Shopping Spree.",http://www.burnabyheights.com/,http://thetyee.ca/Presents/2014/11/26/burnaby-heights610px.jpg
River Market,Experience River Market,"Explore New Westminster's River Market, a 72,000 square-foot marketplace for the hungry and curious along the Mighty Fraser. This fun prize includes a session at the state of the art Vancouver Circus School (try your hand at some trampoline, trapeze, and aerial skills), a food crawl passport to allow your family to sample signature dishes from some of the market's award-winning restaurants, and a basket of goodies from Donald's Market.",http://rivermarket.ca/,http://thetyee.ca/Presents/2014/11/26/circus-school610px.jpg
Local Whistler,$1000 Whistler Getaway for Two,"This incredible $1,000 Whistler getaway for two includes one night in a Deluxe Studio at the Summit Lodge, Ziptrek Eagle Tour tickets, vouchers for a 90-minute float at West Coast Float and a Vibrant Health Retreat certificate for the Green Moustache Juice, Smoothie + Live Food Bar.",http://localwhistler.com/,http://thetyee.ca/Presents/2014/11/26/whistler610px.jpg
Viva Organic Skin Care,Holiday Gift Box,"The Viva Organic Skin Care Holiday Gift Box includes full sizes of our Amaze Exfoliating Gel (60mL), Pure Hyaluronic Acid Serum (15mL) and Amaze Cream (60mL) and is valued at $139.99.",http://vivahealthskincare.com/,
Tofino Chamber of Commerce,Tofino Getaway,"Enjoy two nights (for two) on the wild west coast of Vancouver Island, courtesy of Tofino-Long Beach Chamber of Commerce and Middle Beach Resort. ($260 value.)",http://www.middlebeach.com/,http://thetyee.ca/Presents/2014/11/26/tofino610px.jpg
Red Cat Records,$300 Red Cat Records Vinyl Prize,"Jumpstart your way to being a vinyl aficionado with this Red Cat Records prize: a new audio-technica turntable, a $100 gift certificate, Red Cat T-shirt and tote, and carbon fibre brush.",http://www.redcat.ca/,http://thetyee.ca/Presents/2014/11/26/red-cat-prize610px.jpg
Lonsdale Quay,$100 Market Gift Basket,"From Lonsdale Quay, a sampling of what the Market has in store.",http://www.lonsdalequay.com/,
LaLas,LaLas Gift Basket,"From Lala's, locally owned, operated and loved in both Deep Cove and on Vancouver's Commercial Street: a collection of Thymes Frasier Fir local candles and scents.",http://www.lalas.ca/,
SPUD,Luxurious Gift Basket,"From SPUD, a luxurious basket filled with delectable local, organic and award-winning nibbles and sweets.",http://about.spud.com/Vancouver/?city=VAN,
